127.0.0.1, 2023-12-06 22:15:23, GET, /SIP/default/index, HTTP/1.1, 500, 5.169205
127.0.0.1, 2023-12-06 22:42:05, GET, /, HTTP/1.1, 303, 0.003989
127.0.0.1, 2023-12-06 22:42:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.123669
127.0.0.1, 2023-12-06 22:42:06, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000993
127.0.0.1, 2023-12-06 22:42:06, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000998
127.0.0.1, 2023-12-06 22:42:19, GET, /SIP/default/index, HTTP/1.1, 500, 5.171615
127.0.0.1, 2023-12-06 22:42:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-12-06 22:43:16, GET, /admin/default/ticket/SIP/127.0.0.1.2023-12-06.22-42-14.27c8269a-84c2-4b50-b528-44a51a25a078, HTTP/1.1, 200, 0.265746
127.0.0.1, 2023-12-06 22:43:16, GET, /admin/static/_2.27.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2023-12-06 22:43:16, GET, /admin/static/_2.27.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000996
127.0.0.1, 2023-12-06 22:43:16, GET, /admin/static/_2.27.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-12-06 22:43:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-12-06 22:43:18, GET, /SIP/default/index, HTTP/1.1, 500, 5.031338
127.0.0.1, 2023-12-06 22:45:10, GET, /SIP/default/index, HTTP/1.1, 500, 5.033459
127.0.0.1, 2023-12-06 22:45:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-12-06 22:45:13, GET, /admin/default/ticket/SIP/127.0.0.1.2023-12-06.22-45-05.ab42eb74-d99e-481d-a4d4-128a256dbb50, HTTP/1.1, 200, 0.030917
127.0.0.1, 2023-12-06 22:45:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000996
127.0.0.1, 2023-12-06 22:47:51, GET, /SIP/default/index, HTTP/1.1, 500, 5.023843
127.0.0.1, 2023-12-06 22:47:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-12-06 22:47:53, GET, /admin/default/ticket/SIP/127.0.0.1.2023-12-06.22-47-46.fcb12c09-8f02-43a4-bdb8-a31a1c3715d8, HTTP/1.1, 200, 0.021937
127.0.0.1, 2023-12-06 22:53:50, GET, /, HTTP/1.1, 303, 0.002991
127.0.0.1, 2023-12-06 22:53:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.140153
127.0.0.1, 2023-12-06 22:53:50, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2023-12-06 22:53:50, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-06 22:53:50, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-06 22:53:50, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000998
127.0.0.1, 2023-12-06 22:53:50, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000998
